station,begin,end,flag,note
PBL1,1992-01-13,1992-01-26,UNK,"These data appear shifted, but there isn't enough data there to be sure, and begin-end dates aren't certain."
PBL1,1992-01-23,1992-01-23,UNK,"Unknown issue.  NOAA, PPE1, and PWD1 all record significant rainfall on this day; PBL1 records none."
PBL1,1995-10-27,1995-12-09,UNK,"Nothing recorded in HSP file.  No data recorded for this time span, despite rainfall at comparable sites.  Probably chip ran out of space."
PBL1,1996-12-30,1997-01-09,FAIL,"See line 3,255 in PBL1.HSP.  Chip ran out of space.  Rainfall 1996-11-20 to end = 25.26 inches."
PBL1,1997-04-01,1997-05-02,FAIL,"See line 3,541 in PBL1.HSP.  Chip ran out of space.  Rainfall between begin and end = 5.98 inches."
PBL1,1998-11-04,1998-12-09,FAIL,"See line 4,517 in PBL1.HSP.  Note just says 'data bad'."
PBL1,1999-02-04,1999-02-25,FAIL,"See line 4,742 in PBL1.HSP.  Chip ran out of space.  Rainfall total between begin and end = 11.57."
PBL2,1995-04-01,1995-05-10,EST,See line 593 in PBL2.HSP.  Plugged funnel.
PBL2,1995-10-27,1996-01-10,FAIL,"See line 763 in PBL2.HSP.  Note in file just says ""bad data""."
PBL2,1996-06-01,1996-08-01,FAIL,"See line 1,164 in PBL2.HSP.  Issue with file format converstion; may be able to pull data from original files."
PBL2,1996-09-01,1996-09-14,EST,"See line 1,184 in PBL2.HSP.  Funnel clogged."
PBL2,1996-12-24,1997-01-09,FAIL,"See line 1,551 in PBL2.HSP.  Chip ran out of space; total rainfall between 1996-11-20 and end = 30.02 inches."
PBL2,1997-03-01,1997-04-03,FAIL,"See line 1,730 in PBL2.HSP.  Datapod date errors; data highly questionable per note in file."
PBL2,1997-06-06,1997-06-23,FAIL,"See line 1,898 in PBL2.HSP.  Clogged funnel.  Despite note in file, assuming these data are questionable."
PBL2,1997-06-23,1997-07-06,FAIL,"See line 1,898 in PBL2.HSP.  Clogged funnel."
PBL2,1998-11-25,1998-12-10,FAIL,"See line 2,936 in PBL2.HSP.  Chip ran out of space; total rainfall begin through end = 9.11 inches."
