"","STATION","STATION_NAME","DATE","PRCP","days","total.precip","max.flag","cooksd","tc.station"
"1","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920127",1.48,1992-01-27,2.1,"Normal",0.0503497937904464,"PBL1"
"2","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920128",1.32,1992-01-28,1.09,"Normal",0.0435885017038523,"PBL1"
"3","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19931130",0.85,1993-11-30,1.66,"Normal",0.0448388317967206,"PBL1"
"4","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,4.05,"Normal",0.635176321543954,"PBL1"
"5","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941119",0.82,1994-11-19,1.46,"Normal",0.0238511969867594,"PBL1"
"6","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941129",1.05,1994-11-29,1.95,"Normal",0.0826312643591063,"PBL1"
"7","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941130",2.5,1994-11-30,2.17,"Normal",0.450380348958153,"PBL1"
"8","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941226",2.45,1994-12-26,3.15,"Normal",0.111610136092677,"PBL1"
"9","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951010",1.97,1995-10-10,2.74,"Normal",0.134550953779554,"PBL1"
"10","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960206",1.95,1996-02-06,2.64,"Normal",0.0931185585790751,"PBL1"
"11","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960207",1.98,1996-02-07,2.49,"Normal",0.0290587013367622,"PBL1"
"12","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,2.49,"Normal",0.498967109220293,"PBL1"
"13","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960423",2.31,1996-04-23,0.84,"Normal",2.60511994251085,"PBL1"
"14","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960623",0.86,1996-06-23,0.49,"Normal",0.0248322118457817,"PBL1"
"15","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961119",0.86,1996-11-19,0.25,"Normal",0.0543487636226353,"PBL1"
"16","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961127",1.1,1996-11-27,2.12,"Normal",0.120910541310637,"PBL1"
"17","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961205",0.79,1996-12-05,0.31,"Normal",0.0301422710282056,"PBL1"
"18","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,1.85,"Normal",0.0554279023339074,"PBL1"
"19","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971030",2.04,1997-10-30,1.74,"Normal",0.216409038881326,"PBL1"
"20","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980114",1.16,1998-01-14,0.57,"Normal",0.107085947952319,"PBL1"
"21","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980116",0.97,1998-01-16,0.47,"Normal",0.0529223953046179,"PBL1"
"22","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980124",0.89,1998-01-24,0.52,"Normal",0.0270762316586861,"PBL1"
"23","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981227",2.58,1998-12-27,2.78,"Normal",0.0289198122420827,"PBL1"
"24","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990114",1.58,1999-01-14,2.51,"Normal",0.173955728275463,"PBL1"
"25","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990227",1.5,1999-02-27,1.33,"Normal",0.04811162471243,"PBL1"
"26","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991007",0.91,1999-10-07,1.5,"Normal",0.0227713065173287,"PBL1"
"27","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991214",1.33,1999-12-14,2.22,"Normal",0.11871459083806,"PBL1"
"28","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991215",2.53,1999-12-15,3.46,"Normal",0.316508984544177,"PBL1"
"29","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,5.33,"Normal",0.492417158034824,"PBL2"
"30","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941129",1.05,1994-11-29,2.62,"Normal",0.0649600004077569,"PBL2"
"31","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941219",1.37,1994-12-19,3.2,"Normal",0.137755012504015,"PBL2"
"32","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941226",2.45,1994-12-26,4.82,"Normal",0.503152347424187,"PBL2"
"33","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941227",1.11,1994-12-27,2.73,"Normal",0.0758714505265395,"PBL2"
"34","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960207",1.98,1996-02-07,2.35,"Normal",0.0825214655606694,"PBL2"
"35","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,2.27,"Normal",1.56316361416402,"PBL2"
"36","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960423",2.31,1996-04-23,4.35,"Normal",0.266245537761679,"PBL2"
"37","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970916",0.95,1997-09-16,2.96,"Normal",0.113837516183629,"PBL2"
"38","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971030",2.04,1997-10-30,2.11,"Normal",0.210926873454219,"PBL2"
"39","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971216",2.57,1997-12-16,3.1,"Normal",0.21248644214621,"PBL2"
"40","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981113",2.59,1998-11-13,4.63,"Normal",0.249146640678572,"PBL2"
